trace,scheduler,fairness_index,throughput_fairness_index,throughput_MBps,avg_latency_s,avg_slowdown,completed,runtime_s,results_path,trace_path
debug_bursty.csv,rr,0.650289,0.650289,38.6598,7.8869e-05,0.0,7.0,0.00303125,results/full_test_with_minmax/debug_bursty_rr.csv,traces/debug_bursty.csv
debug_bursty.csv,drr,1.0,1.0,5.20833,1.5625e-05,0.0,4.0,0.003,results/full_test_with_minmax/debug_bursty_drr.csv,traces/debug_bursty.csv
debug_bursty.csv,qfq,0.650289,0.650289,38.6598,7.8869e-05,0.0,7.0,0.00303125,results/full_test_with_minmax/debug_bursty_qfq.csv,traces/debug_bursty.csv
debug_bursty.csv,flin,0.990454,0.650289,38.6598,7.8869e-05,1.13656,7.0,0.00303125,results/full_test_with_minmax/debug_bursty_flin.csv,traces/debug_bursty.csv
debug_bursty.csv,minmax,0.650289,0.650289,38.6598,7.8869e-05,0.0,7.0,0.00303125,results/full_test_with_minmax/debug_bursty_minmax.csv,traces/debug_bursty.csv
debug_two_users.csv,rr,0.961538,0.961538,12.5839,3.64583e-05,0.0,6.0,0.00310417,results/full_test_with_minmax/debug_two_users_rr.csv,traces/debug_two_users.csv
debug_two_users.csv,drr,0.9,0.9,7.8125,2.29167e-05,0.0,5.0,0.003,results/full_test_with_minmax/debug_two_users_drr.csv,traces/debug_two_users.csv
debug_two_users.csv,qfq,0.961538,0.961538,12.5839,3.64583e-05,0.0,6.0,0.00310417,results/full_test_with_minmax/debug_two_users_qfq.csv,traces/debug_two_users.csv
debug_two_users.csv,flin,0.999598,0.961538,12.5839,3.64583e-05,1.09632,6.0,0.00310417,results/full_test_with_minmax/debug_two_users_flin.csv,traces/debug_two_users.csv
debug_two_users.csv,minmax,0.961538,0.961538,12.5839,3.64583e-05,0.0,6.0,0.00310417,results/full_test_with_minmax/debug_two_users_minmax.csv,traces/debug_two_users.csv
example.csv,rr,1.0,1.0,47.9233,2.08333e-05,0.0,4.0,0.000326042,results/full_test_with_minmax/example_rr.csv,traces/example.csv
example.csv,drr,1.0,1.0,47.9233,2.08333e-05,0.0,4.0,0.000326042,results/full_test_with_minmax/example_drr.csv,traces/example.csv
example.csv,qfq,1.0,1.0,47.9233,2.08333e-05,0.0,4.0,0.000326042,results/full_test_with_minmax/example_qfq.csv,traces/example.csv
example.csv,flin,0.998454,1.0,47.9233,2.08333e-05,0.958529,4.0,0.000326042,results/full_test_with_minmax/example_flin.csv,traces/example.csv
example.csv,minmax,1.0,1.0,47.9233,2.08333e-05,0.0,4.0,0.000326042,results/full_test_with_minmax/example_minmax.csv,traces/example.csv
high_vs_low.csv,rr,0.584567,0.584567,1338.57,0.0050414,0.0,1225.0,0.00970313,results/full_test_with_minmax/high_vs_low_rr.csv,traces/high_vs_low.csv
high_vs_low.csv,drr,0.845126,0.845126,1388.09,0.00137412,0.0,1109.0,0.00561979,results/full_test_with_minmax/high_vs_low_drr.csv,traces/high_vs_low.csv
high_vs_low.csv,qfq,0.584567,0.584567,1315.96,0.00181179,0.0,1225.0,0.00986979,results/full_test_with_minmax/high_vs_low_qfq.csv,traces/high_vs_low.csv
high_vs_low.csv,flin,0.830274,0.584567,1327.88,0.00174922,1.15973,1225.0,0.00978125,results/full_test_with_minmax/high_vs_low_flin.csv,traces/high_vs_low.csv
high_vs_low.csv,minmax,0.584567,0.584567,1312.5,0.00184141,0.0,1225.0,0.00989583,results/full_test_with_minmax/high_vs_low_minmax.csv,traces/high_vs_low.csv
quick_test.csv,rr,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/quick_test_rr.csv,traces/quick_test.csv
quick_test.csv,drr,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/quick_test_drr.csv,traces/quick_test.csv
quick_test.csv,qfq,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/quick_test_qfq.csv,traces/quick_test.csv
quick_test.csv,flin,0.99935,1.0,7.69231,1.5625e-05,0.75125,2.0,0.00101563,results/full_test_with_minmax/quick_test_flin.csv,traces/quick_test.csv
quick_test.csv,minmax,1.0,1.0,7.69231,1.5625e-05,0.0,2.0,0.00101563,results/full_test_with_minmax/quick_test_minmax.csv,traces/quick_test.csv
