user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,665149,1.58972,0.00530977,90.2247,5968371712,0,0
1,439,1.41903,5.69152,5.69789,38539264,0,0
2,427,1.31246,5.67981,5.68371,37863424,0,0
3,409,1.36011,5.68094,5.69008,38248448,0,0
4,454,1.38761,5.69574,5.71652,39333888,0,0
5,464,1.71091,5.73388,5.75072,40837120,0,0
6,466,1.63267,5.72439,5.74967,40599552,0,0
7,418,1.25046,5.65668,5.68126,37662720,0,0
8,344,0.26862,1.69667,1.70779,30384128,0,0
9,438,1.46671,5.69595,5.71335,39247872,0,0
10,379,0.36484,1.71234,2.71855,31588352,0,0
11,372,0.393619,1.72586,2.72283,32333824,0,0
12,447,1.37095,5.69572,5.71068,39100416,0,0
13,376,0.456553,2.11834,3.65445,32755712,0,0
14,414,1.3084,5.65139,5.67544,37707776,0,0
15,478,1.69858,5.73306,5.75903,41017344,0,0
16,431,1.31361,5.67797,5.68836,38125568,0,0
17,98001,0.0026448,0.00868138,0.0166233,401412096,0,0
18,667711,0.00159025,0.00485736,0.00619056,5270679552,0,0
19,670937,0.00159985,0.00485804,0.00619937,5293506560,0,0
20,43058,16.6221,57.2957,78.0669,7083900928,0,0
21,669170,0.00161309,0.00488618,0.00623498,5283393536,0,0
22,669504,0.00161171,0.00487997,0.00622626,5283028992,0,0
23,668225,0.00159968,0.00485903,0.00618774,5275451392,0,0
24,669529,0.00163323,0.00490786,0.00640559,5282541568,0,0
25,670207,0.00161693,0.00488755,0.00626913,5291008000,0,0
26,669143,0.00160405,0.00487859,0.00623782,5284823040,0,0
27,666462,0.0015916,0.00484466,0.00617052,5256863744,0,0
28,668629,0.00161655,0.00491254,0.0063216,5278068736,0,0
29,670397,0.00161207,0.00487539,0.00621113,5293514752,0,0
30,668374,0.00159673,0.00484597,0.00618628,5274824704,0,0
31,670826,0.00161618,0.00488601,0.00625118,5296320512,0,0
32,668582,0.00161779,0.00488604,0.00627359,5277626368,0,0
33,668732,0.00161366,0.00488871,0.00626157,5281574912,0,0
34,33834,43.1221,209.487,235.692,7170072576,0,0
35,26725,8.48272,45.7379,57.5948,4771536896,0,0
36,31369,19.764,74.7593,83.5295,7212109824,0,0
37,42817,11.0425,75.3049,96.9734,6261137408,0,0
38,18472,9.00857,38.3912,72.7323,4558475264,0,0
39,34052,10.3755,67.3402,78.3492,6343671808,0,0
40,60981,6.28598,49.0442,68.595,6372614144,0,0
41,44739,7.58318,45.119,65.8798,5379506176,0,0
42,47770,7.6721,40.1982,57.2253,5775122432,0,0
43,47844,6.88491,28.6971,46.1008,6016057344,0,0
44,32076,10.8377,48.0109,58.0703,6185234432,0,0
45,44789,14.687,46.5622,69.7312,6726156288,0,0
46,55981,14.948,49.7147,50.6377,6590373888,0,0
47,26165,5.99475,31.5455,40.8004,6228373504,0,0
48,55488,6.71264,42.063,69.873,7630831616,0,0
49,73650,9.31095,41.298,84.8113,7058640896,0,0
50,18452,10.875,53.1095,62.6079,5834678272,0,0
51,41077,10.9178,71.8114,90.6377,6283825152,0,0
52,68800,5.25266,25.6332,52.696,6862950400,0,0
53,38175,14.7396,70.9503,93.5969,6061928448,0,0
54,28689,19.7095,96.8223,114.039,5248815104,0,0
55,10977,3.5277,37.3708,41.2817,922017792,0,0
56,54509,17.4775,49.656,59.6845,7943479296,0,0
57,25293,6.03029,23.9716,47.9416,5769891840,0,0
58,35843,6.40137,39.9804,47.3435,6563262464,0,0
59,33075,2.60977,7.81317,13.7015,4425248768,0,0
60,29522,2.66325,8.42649,22.75,3891089408,0,0
61,20503,5.25178,18.3835,29.6163,5584936960,0,0
62,23309,5.62205,16.0338,33.1415,5644873728,0,0
63,14367,6.29558,30.623,39.2036,5205270528,0,0
64,45765,3.90794,10.9157,26.0314,5635715072,0,0
65,61231,8.31387,29.1102,34.5713,7896821760,0,0
66,61416,3.10732,17.0347,29.6659,5473034240,0,0
67,58830,5.47663,22.4447,41.3515,7269810176,0,0
68,30504,5.98886,15.4605,37.1494,5313843200,0,0
69,33192,7.17222,23.0082,37.0782,7521755136,0,0
70,13000,3.29656,12.6558,24.2393,3335491584,0,0
71,28405,14.7617,36.3139,37.6007,6506688512,0,0
72,37798,3.52646,8.82465,26.7234,4417306624,0,0
73,24190,9.1619,39.3526,47.2456,5161938944,0,0
74,53014,3.26262,12.7344,30.8322,6890463232,0,0
75,32351,3.06065,10.4022,12.3524,4161503232,0,0
76,30473,2.23734,8.41543,21.7437,4065210368,0,0
77,69794,6.26739,25.2445,33.1683,5824491520,0,0
78,55843,8.15827,28.084,39.5927,6130593792,0,0
79,39955,2.81288,7.6474,34.1095,5211189248,0,0
80,55645,6.69283,30.9908,35.9749,5543071744,0,0
81,34167,6.89312,29.851,53.3051,5707190272,0,0
82,21712,4.93197,16.2432,25.0458,4295180288,0,0
83,44705,3.32367,6.67251,53.5532,5219635200,0,0
84,44079,3.52578,8.52736,31.9311,6099808256,0,0
85,34736,5.07011,26.7384,37.7681,5898207232,0,0
86,50469,13.8996,52.8039,71.329,6803759104,0,0
87,56874,3.764,14.6713,36.5981,6369521664,0,0
88,37371,7.80966,25.9541,36.6187,4912848896,0,0
89,34269,2.75532,10.4373,27.3359,4433182720,0,0
90,4487,1.76938,8.20743,8.22997,277286912,0,0
91,14914,210.951,424.686,442.949,15498342400,0,0
92,2364,0.012196,0.0233293,0.0260741,10346496,0,0
