user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,632413,0.000348228,0.000569775,0.0066586,5717950464,1.01675,0.925952
1,439,0.000504074,0.000920372,0.00115973,38539264,1.14195,1.00257
2,427,0.000489464,0.000856434,0.00105232,37863424,1.13174,0.931137
3,409,0.000514257,0.000900262,0.000961284,38248448,1.15534,1.02358
4,454,0.000533089,0.000959728,0.00136242,39333888,1.13044,1.13006
5,464,0.000513081,0.000954218,0.0014602,40837120,1.1897,1.11726
6,466,0.000553699,0.00103368,0.00156727,40599552,1.17612,1.14695
7,418,0.000513237,0.00092648,0.00125208,37662720,1.11666,0.965214
8,344,0.000465639,0.000843275,0.000956367,30384128,0.87847,0.902509
9,438,0.00049147,0.000895193,0.000967484,39247872,1.13059,1.16467
10,379,0.000450943,0.000859153,0.000954272,31588352,0.879785,1.12068
11,372,0.000453519,0.000819152,0.000935309,32333824,0.910598,1.06852
12,447,0.000468631,0.00088262,0.000978005,39100416,1.13227,1.07534
13,376,0.000476602,0.000905136,0.000960159,32755712,0.918191,1.09601
14,414,0.000489406,0.000841945,0.000946284,37707776,1.09928,1.07948
15,478,0.000483989,0.000896932,0.000972015,41017344,1.15365,1.27787
16,431,0.000495497,0.000912589,0.000952036,38125568,1.12652,1.03487
17,92835,0.000532298,0.00354842,0.00597967,380252160,0.431105,0.0857121
18,634346,0.000294114,0.000525636,0.00653815,5014319104,1.01676,0.933615
19,637772,0.000298359,0.000535014,0.00663616,5039800320,1.02079,0.994213
20,43058,0.00909378,0.0484563,0.196757,7083900928,2.9001,24.047
21,636234,0.000298121,0.000551234,0.00659805,5030928384,1.01838,0.885446
22,636033,0.000295292,0.000528178,0.00655707,5026701312,1.01821,0.922264
23,634939,0.000295268,0.000529655,0.00655495,5019320320,1.01761,0.900596
24,635954,0.000295898,0.00053679,0.00656649,5024546816,1.01832,0.9129
25,636760,0.000297917,0.000555302,0.00656834,5033996288,1.01923,0.876438
26,636196,0.00029698,0.000535232,0.00658833,5032001536,1.01965,0.941208
27,633202,0.000295107,0.00054378,0.00651476,5002227712,1.0127,0.866972
28,635395,0.000298387,0.000544375,0.00659576,5023227904,1.018,0.935602
29,636891,0.000293501,0.000522796,0.0065506,5036498944,1.02003,0.909516
30,635324,0.000295224,0.000528698,0.00656202,5021229056,1.01762,0.824005
31,637236,0.000297441,0.000542544,0.00659338,5039718400,1.02125,0.926193
32,635437,0.000294269,0.000522955,0.00654692,5023895552,1.01866,0.952485
33,635292,0.000296762,0.000537248,0.00656148,5024821248,1.01779,0.857752
34,25864,0.0127625,0.0545277,0.18721,6600024064,3.67323,1.45928
35,26041,0.00717304,0.0430155,0.106999,4747513856,3.21936,17.3753
36,30765,0.0113942,0.0550929,0.172266,6590873600,3.41168,16.6938
37,42817,0.00757337,0.0424521,0.106138,6261137408,2.58148,28.9664
38,11268,0.0233508,0.120273,0.345983,4212641792,4.81269,7.18263
39,28526,0.0108506,0.0551853,0.192498,5890269184,3.22738,12.5271
40,60981,0.00422432,0.0256076,0.0706091,6372614144,2.04773,5.99849
41,44739,0.00469062,0.027206,0.0752495,5379506176,2.43046,15.9454
42,40420,0.00668899,0.0328464,0.110045,5320187904,2.50957,24.9855
43,47844,0.00641072,0.0367148,0.103465,6016057344,2.39564,14.3454
44,32076,0.0107692,0.0559478,0.166314,6185234432,3.00786,11.1521
45,44454,0.00780798,0.0417208,0.138678,6379642880,2.58269,16.5031
46,53655,0.00694666,0.0368725,0.118622,6469607424,2.20628,1.54529
47,25684,0.0124317,0.0554261,0.195743,5727784960,3.54621,5.63155
48,55488,0.00681603,0.0385159,0.103572,7630831616,2.60419,19.4899
49,67859,0.00449118,0.0193025,0.0838149,6525513728,2.07537,1.59364
50,18119,0.0168854,0.0780407,0.290194,5489139712,4.45524,4.93621
51,38524,0.00830765,0.0429499,0.137682,5998497792,2.83358,1.50661
52,68422,0.00442228,0.0241212,0.0775373,6472724480,1.94457,24.1355
53,33223,0.00801832,0.0487276,0.126991,5624406016,2.82071,22.9244
54,21500,0.0126771,0.0546336,0.236468,4798889984,3.73248,12.1665
55,10973,0.00681894,0.0379968,0.130493,921866240,6.30169,1.56294
56,54509,0.00640149,0.042782,0.120974,7943479296,2.64703,18.9573
57,24567,0.00847229,0.0514111,0.131482,5018943488,2.98668,16.4889
58,35034,0.00693649,0.0471175,0.0951948,6534553600,3.13221,11.804
59,28155,0.00494028,0.0366902,0.0858107,3986776064,2.73612,30.9732
60,28799,0.00601768,0.0386886,0.129174,3879882752,2.68089,13.7363
61,20111,0.0109403,0.0553032,0.147042,5579325440,4.0676,17.5613
62,22318,0.00891489,0.0489143,0.103246,5581713408,3.75775,14.3911
