user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,665149,0.000906628,0.0055283,0.0218715,5968371712,0,0
1,439,0.000510616,0.000909347,0.000982861,38539264,0,0
2,427,0.000499764,0.000852717,0.00096064,37863424,0,0
3,409,0.000526981,0.000894453,0.000977917,38248448,0,0
4,454,0.000510162,0.00090522,0.00106602,39333888,0,0
5,464,0.000493025,0.00087901,0.000973868,40837120,0,0
6,466,0.000507187,0.000904264,0.000984803,40599552,0,0
7,418,0.000509755,0.000904271,0.00101631,37662720,0,0
8,344,0.000496788,0.000884552,0.000981708,30384128,0,0
9,438,0.000506249,0.000896411,0.000967484,39247872,0,0
10,379,0.000482725,0.000892956,0.000999219,31588352,0,0
11,372,0.000496388,0.000865375,0.00100474,32333824,0,0
12,447,0.000491406,0.000922357,0.001029,39100416,0,0
13,376,0.000516675,0.000942675,0.00104673,32755712,0,0
14,414,0.000503435,0.000865435,0.000980358,37707776,0,0
15,478,0.000497132,0.000907052,0.000985544,41017344,0,0
16,431,0.000496862,0.000898216,0.000955066,38125568,0,0
17,98001,0.00474813,0.0246505,0.0853887,401412096,0,0
18,667711,0.000867222,0.00538273,0.0213101,5270679552,0,0
19,670937,0.000887007,0.00545955,0.0215938,5293506560,0,0
20,43058,0.00940712,0.0491586,0.192946,7083900928,0,0
21,669170,0.000879084,0.00537091,0.0215247,5283393536,0,0
22,669504,0.000869769,0.00530153,0.0213575,5283028992,0,0
23,668225,0.000867907,0.00540079,0.0213688,5275451392,0,0
24,669529,0.000889412,0.00544644,0.0216114,5282541568,0,0
25,670207,0.000865065,0.00546926,0.0214536,5291008000,0,0
26,669143,0.000876022,0.00551261,0.0215155,5284823040,0,0
27,666462,0.000873209,0.00548113,0.0214044,5256863744,0,0
28,668629,0.000879162,0.00549392,0.021479,5278068736,0,0
29,670397,0.000867119,0.00526373,0.0212662,5293514752,0,0
30,668374,0.000857566,0.00540209,0.0212134,5274824704,0,0
31,670826,0.00087381,0.00541145,0.0213763,5296320512,0,0
32,668582,0.000870124,0.00542753,0.0214385,5277626368,0,0
33,668732,0.000878077,0.00546613,0.0216731,5281574912,0,0
34,33834,0.0101326,0.0504515,0.137165,7170072576,0,0
35,26726,0.00716554,0.0436516,0.106184,4771606528,0,0
36,31369,0.011703,0.0574831,0.161068,7212109824,0,0
37,42817,0.00778146,0.0430065,0.114507,6261137408,0,0
38,18472,0.0142562,0.070863,0.214187,4558475264,0,0
39,34804,0.0092714,0.0500788,0.165618,6414700544,0,0
40,60981,0.00442819,0.0263506,0.0696452,6372614144,0,0
41,44739,0.00503145,0.031511,0.0810884,5379506176,0,0
42,47791,0.00613749,0.031918,0.0950356,5795766272,0,0
43,47844,0.00674741,0.0372759,0.103963,6016057344,0,0
44,32076,0.0108746,0.0575055,0.162184,6185234432,0,0
45,44813,0.0085619,0.0453258,0.143005,6749102080,0,0
46,55981,0.00696329,0.0379068,0.108982,6590373888,0,0
47,26371,0.0132927,0.05885,0.174239,6440206336,0,0
48,55488,0.0070004,0.0426458,0.102097,7630831616,0,0
49,73650,0.0045667,0.0206611,0.0793189,7058640896,0,0
50,18544,0.0179665,0.0792442,0.295748,5928382464,0,0
51,41077,0.00804304,0.0435438,0.126832,6283825152,0,0
52,68800,0.00503644,0.0288442,0.0833083,6862950400,0,0
53,38175,0.00773233,0.0489489,0.1097,6061928448,0,0
54,28710,0.0098058,0.049265,0.160868,5269585920,0,0
55,10977,0.0250011,0.192026,0.193098,922017792,0,0
56,54509,0.00666464,0.0437432,0.116446,7943479296,0,0
57,25293,0.00951787,0.0550115,0.125035,5769891840,0,0
58,35843,0.00710596,0.0487059,0.0929259,6563262464,0,0
59,33075,0.00471643,0.0362318,0.082872,4425248768,0,0
60,29522,0.00577366,0.0393695,0.117777,3891089408,0,0
61,20503,0.0110429,0.0561058,0.143609,5584936960,0,0
62,23309,0.00888565,0.0490972,0.102187,5644873728,0,0
63,14367,0.0143392,0.064727,0.149248,5205270528,0,0
64,45765,0.00481428,0.0350168,0.0906961,5635715072,0,0
65,64330,0.00529349,0.0371201,0.098154,8047480832,0,0
66,61416,0.00366866,0.0202453,0.0766653,5473034240,0,0
67,58830,0.00635632,0.0384413,0.114861,7269810176,0,0
68,30504,0.00776657,0.0488956,0.124159,5313843200,0,0
69,33446,0.00862377,0.0510181,0.102407,7783223296,0,0
70,13000,0.0131979,0.075685,0.188608,3335491584,0,0
71,28405,0.00947427,0.0539176,0.117407,6506688512,0,0
72,37798,0.0048455,0.0296901,0.0814369,4417306624,0,0
73,24886,0.0100837,0.059116,0.147933,5199069184,0,0
74,53014,0.00569384,0.038306,0.101406,6890463232,0,0
