user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,29,0.381628,0.455321,0.455499,3330048,0,0
1,64,0.0738156,0.123899,0.129764,7602176,0,0
2,67,0.0801549,0.134886,0.1411,7692288,0,0
3,62,0.0850953,0.138834,0.142844,7696384,0,0
4,70,0.0505266,0.0962568,0.102772,7602176,0,0
5,66,0.0760548,0.128058,0.131697,7598080,0,0
6,66,0.0735954,0.123826,0.128855,7593984,0,0
7,64,0.0622105,0.113112,0.11902,7602176,0,0
8,62,0.0232164,0.0466429,0.050884,7471104,0,0
9,66,0.0747414,0.123694,0.130231,7602176,0,0
10,65,0.0176513,0.031275,0.0463106,7221248,0,0
11,63,0.0221027,0.0437543,0.046487,7602176,0,0
12,70,0.0735456,0.128625,0.133063,7602176,0,0
13,68,0.0219974,0.0410492,0.0429262,7589888,0,0
14,64,0.0631882,0.11609,0.12257,7598080,0,0
15,70,0.0791646,0.134237,0.138014,7544832,0,0
16,63,0.0698963,0.119328,0.125237,7471104,0,0
