user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,29,0.000441584,0.0005,0.0005,3330048,0,0
1,120,0.0006542,0.000977122,0.000991563,13922304,0,0
2,120,0.000630387,0.00094589,0.00096064,13717504,0,0
3,115,0.000680732,0.000936106,0.000973283,14417920,0,0
4,108,0.000663247,0.00096884,0.000992056,12451840,0,0
5,116,0.000658179,0.000956244,0.000982751,13889536,0,0
6,111,0.000668326,0.000944799,0.000984803,13225984,0,0
7,110,0.000663802,0.000930846,0.000981312,13107200,0,0
8,70,0.000664574,0.000933513,0.000973194,8519680,0,0
9,116,0.000637601,0.000950238,0.000972824,13373440,0,0
10,71,0.000639176,0.000953802,0.000989493,7958528,0,0
11,71,0.000683815,0.000935309,0.000983367,8650752,0,0
12,115,0.000620277,0.000961462,0.000982636,12976128,0,0
13,83,0.00063261,0.000967073,0.00104673,8998912,0,0
14,107,0.000660142,0.000916938,0.000946284,12972032,0,0
15,122,0.000616369,0.00094031,0.000969384,13541376,0,0
16,111,0.000668534,0.000935142,0.000948895,13107200,0,0
