user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,29,0.000441584,0.0005,0.0005,3330048,1,1
1,120,0.000653419,0.000977122,0.000991563,13922304,1.22966,1.25746
2,120,0.000644059,0.0009579,0.00103499,13717504,1.28067,1.19244
3,115,0.000681411,0.000936106,0.000973283,14417920,1.3345,1.24407
4,108,0.000653988,0.000957893,0.000978066,12451840,1.04765,1.15839
5,116,0.000662489,0.000965383,0.000987555,13889536,1.24259,1.21057
6,111,0.000664525,0.000939223,0.000962919,13225984,1.19559,1.1138
7,110,0.000667637,0.000949981,0.000987504,13107200,1.14024,1.17575
8,70,0.000664574,0.000933513,0.000973194,8519680,0.794488,0.770953
9,116,0.000636928,0.000950238,0.000972824,13373440,1.20065,1.1705
10,71,0.000639176,0.000953802,0.000989493,7958528,0.711749,0.728572
11,71,0.000676773,0.000932188,0.000978809,8650752,0.785012,0.775168
12,115,0.000620277,0.000961462,0.000982636,12976128,1.20949,1.16788
13,83,0.000607008,0.000942675,0.000967073,8998912,0.792073,0.813509
14,107,0.000660142,0.000916938,0.000946284,12972032,1.1332,1.20444
15,122,0.000620468,0.00094031,0.000969486,13541376,1.23032,1.15571
16,111,0.000671631,0.000935142,0.000948895,13107200,1.15742,1.16291
