user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,29,0.000441584,0.0005,0.0005,3330048,0,0
1,120,0.000650684,0.00096846,0.000987839,13922304,0,0
2,120,0.000630127,0.00094589,0.00096064,13717504,0,0
3,115,0.000680324,0.000936106,0.000973283,14417920,0,0
4,108,0.000653698,0.000957893,0.000978066,12451840,0,0
5,116,0.000657909,0.000956244,0.000982751,13889536,0,0
6,111,0.000661851,0.000939223,0.00096098,13225984,0,0
7,110,0.000663376,0.000930846,0.000981312,13107200,0,0
8,70,0.000665913,0.000933513,0.000986366,8519680,0,0
9,116,0.000637197,0.000950238,0.000972824,13373440,0,0
10,71,0.000642037,0.000954272,0.000999834,7958528,0,0
11,71,0.000680294,0.000935309,0.000983367,8650752,0,0
12,115,0.000620413,0.000961462,0.000982636,12976128,0,0
13,83,0.000627715,0.00096681,0.00104673,8998912,0,0
14,107,0.00065985,0.000916938,0.000946284,12972032,0,0
15,122,0.000623414,0.00094031,0.000971348,13541376,0,0
16,111,0.00067698,0.000943335,0.000952036,13107200,0,0
