user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,29,0.000441584,0.0005,0.0005,3330048,0,0
1,120,0.000650684,0.00096846,0.000987839,13922304,0,0
2,120,0.00063234,0.00094589,0.00096064,13717504,0,0
3,115,0.000680324,0.000936106,0.000973283,14417920,0,0
4,108,0.000662958,0.00096884,0.000992056,12451840,0,0
5,116,0.00066222,0.000965383,0.000987555,13889536,0,0
6,111,0.000666355,0.000939223,0.000962919,13225984,0,0
7,110,0.000677012,0.000962112,0.0010807,13107200,0,0
8,70,0.00067127,0.000933513,0.000986366,8519680,0,0
9,116,0.000637197,0.000950238,0.000972824,13373440,0,0
10,71,0.000638956,0.000953802,0.000989493,7958528,0,0
11,71,0.000676333,0.000932188,0.000978809,8650752,0,0
12,115,0.000619734,0.000961462,0.000982636,12976128,0,0
13,83,0.000623386,0.000957821,0.00100632,8998912,0,0
14,107,0.000655177,0.000916938,0.000944225,12972032,0,0
15,122,0.000618291,0.00094031,0.000969486,13541376,0,0
16,111,0.000667971,0.000935142,0.000948895,13107200,0,0
