timestamp,process_id,user_id,type,address,size
0,highrate,0,READ,0x00000000,4096
1,highrate,0,READ,0x00001000,4096
2,highrate,0,READ,0x00002000,4096
3,medrate,1,WRITE,0x00100000,8192
5,lowrate,2,READ,0x10000000,4096
6,background,3,WRITE,0x20000000,32768
7,highrate,0,READ,0x00003000,4096
8,highrate,0,READ,0x00004000,4096
10,highrate,0,WRITE,0x00005000,4096
11,medrate,1,READ,0x00102000,8192
12,highrate,0,READ,0x00006000,4096
13,highrate,0,READ,0x00007000,4096
15,lowrate,2,WRITE,0x10002000,4096
16,medrate,1,WRITE,0x00104000,8192
17,background,3,WRITE,0x20008000,65536
20,highrate,0,READ,0x00008000,4096
21,highrate,0,READ,0x00009000,4096
22,medrate,1,READ,0x00106000,8192
23,highrate,0,WRITE,0x0000A000,4096
25,lowrate,2,READ,0x10004000,4096
26,highrate,0,READ,0x0000B000,4096
27,background,3,WRITE,0x20010000,32768
30,highrate,0,READ,0x0000C000,4096
31,highrate,0,READ,0x0000D000,4096
32,highrate,0,READ,0x0000E000,4096
33,medrate,1,WRITE,0x00108000,8192
35,background,3,WRITE,0x20020000,65536
36,highrate,0,WRITE,0x0000F000,4096
37,lowrate,2,READ,0x10006000,4096
40,highrate,0,READ,0x00010000,4096
41,highrate,0,READ,0x00011000,4096
42,highrate,0,READ,0x00012000,4096
43,medrate,1,READ,0x0010A000,8192
45,medrate,1,WRITE,0x0010C000,8192
46,background,3,WRITE,0x20030000,32768
47,highrate,0,READ,0x00013000,4096
48,highrate,0,READ,0x00014000,4096
50,lowrate,2,WRITE,0x10008000,4096
52,highrate,0,WRITE,0x00015000,4096
53,background,3,WRITE,0x20038000,65536
55,highrate,0,READ,0x00016000,4096
56,medrate,1,READ,0x0010E000,8192
58,highrate,0,READ,0x00017000,4096
60,lowrate,2,READ,0x1000A000,4096
61,background,3,WRITE,0x20040000,32768
62,highrate,0,READ,0x00018000,4096
63,highrate,0,READ,0x00019000,4096
65,medrate,1,WRITE,0x00110000,16384
67,highrate,0,READ,0x0001A000,4096
100,highrate,0,READ,0x00000000,4096
101,highrate,0,READ,0x00001000,4096
102,highrate,0,READ,0x00002000,4096
103,medrate,1,WRITE,0x00100000,8192
105,lowrate,2,READ,0x10000000,4096
106,background,3,WRITE,0x20000000,32768
107,highrate,0,READ,0x00003000,4096
108,highrate,0,READ,0x00004000,4096
110,highrate,0,WRITE,0x00005000,4096
111,medrate,1,READ,0x00102000,8192
112,highrate,0,READ,0x00006000,4096
113,highrate,0,READ,0x00007000,4096
115,lowrate,2,WRITE,0x10002000,4096
116,medrate,1,WRITE,0x00104000,8192
117,background,3,WRITE,0x20008000,65536
120,highrate,0,READ,0x00008000,4096
121,highrate,0,READ,0x00009000,4096
122,medrate,1,READ,0x00106000,8192
123,highrate,0,WRITE,0x0000A000,4096
125,lowrate,2,READ,0x10004000,4096
126,highrate,0,READ,0x0000B000,4096
127,background,3,WRITE,0x20010000,32768
130,highrate,0,READ,0x0000C000,4096
131,highrate,0,READ,0x0000D000,4096
132,highrate,0,READ,0x0000E000,4096
133,medrate,1,WRITE,0x00108000,8192
135,background,3,WRITE,0x20020000,65536
136,highrate,0,WRITE,0x0000F000,4096
137,lowrate,2,READ,0x10006000,4096
140,highrate,0,READ,0x00010000,4096
141,highrate,0,READ,0x00011000,4096
