user_id,completed,avg_latency_s,avg_throughput_bytes_per_s,total_bytes
0,5204,297018,10.0081,15469379584
1,7337,265011,7.95586,15469248512
2,2970,262261,19.8272,15443689472
3,11518,15248.1,74.264,13042843648
4,1902,41536.8,163.554,12921208832
5,2116,159827,45.6524,15439364096
6,1847,10546.8,575.513,11210981376
7,2825,296701,18.4448,15460073472
8,177,459.165,17388.7,1413218304
9,932,751.218,9379.2,6566707200
10,51,338.675,19950.2,344588288
11,829,873.573,6119.65,4431806464
12,1444,36892.9,195.479,10413801472
13,2435,45425.8,135.021,14934867968
14,1089,4387.27,1503.65,7184056320
15,26,384.608,21168.5,211681280
16,816,1530.05,4992.5,6233260032
17,20,51.4382,19365.9,19922944
18,742,1963.39,2364.69,3444965376
19,54,359.086,20995.2,407109632
20,409,597.312,11457.9,2799173632
21,135,135.525,20618.1,377225216
22,918,1409.1,4118.85,5327945728
23,667,527.725,14868.8,5233704960
24,1875,53149.3,137.517,13704232960
25,860,1782.75,3855.64,5911347200
26,1062,444.058,13340.1,6291062784
27,499,2215.92,3567.38,3944611840
28,52,300.114,17553.6,273940480
29,197,391.209,19024.3,1466171392
30,212,373.093,16354.2,1293549568
31,1328,20471.5,388.541,10562961408
32,122,387.554,19876.4,939786240
33,58,345.431,17506.8,350748672
34,740,740.818,10406.3,5704777728
35,113,390.46,18614.2,821297152
36,1,24.0095,49132.6,1179648
37,240,440.99,12446.2,1317273600
38,626,382.523,15134.1,3624009728
39,145,3146.97,1349.18,615645184
40,670,588.405,10506.5,4142006272
41,54,304.379,22727.2,373555200
42,35,297.27,19488.7,202768384
43,24,463.62,15784.9,175636480
44,85,369.262,18449.4,579076096
45,1010,2.85137,57437.3,165412864
46,3,143.922,37642.8,16252928
47,1,212.098,39550.6,8388608
48,9,366.669,22242.4,73400320
49,80,1496.9,700.5,83886080
50,1,313.135,26789.1,8388608
51,1,0.447631,292813,131072
52,52,303.361,19451.3,306839552
53,48,437.432,25207.2,529268736
54,8,225.257,25893.5,46661632
55,194,297.308,22279.5,1285029888
56,1310,10489,593.673,8157396992
57,20,231.89,24672.4,114425856
58,13,340.84,21653.4,95944704
59,144,2016.58,3551.37,1031274496
60,4,2.30371,56896.2,524288
61,1,26.8404,24416.9,655360
62,4,491.822,17056.2,33554432
63,2,120.871,24941.2,6029312
64,3,44.2473,26660.3,3538944
65,44,251.798,22797.5,252575744
66,3,307.963,27239,25165824
67,2,344.233,15801.8,10878976
68,6,344.927,19696.6,40763392
69,2,194.767,43070,16777216
70,2,156.819,19223.8,6029312
71,4,384.444,19774.5,30408704
72,6,293.532,18531.2,32636928
73,0,0,0,0
