trace,scheduler,fairness_index,throughput_MBps,avg_latency_s,completed,runtime_s,results_path,trace_path
adversarial.csv,rr,0.623077,347.293,0.000238484,200.0,0.0161967,results/matrix/adversarial_rr.csv,test_data/traces/adversarial.csv
adversarial.csv,drr,0.941176,65.4579,9.81761e-05,163.0,0.015277,results/matrix/adversarial_drr.csv,test_data/traces/adversarial.csv
adversarial.csv,qfq,0.623077,347.293,0.000238484,200.0,0.0161967,results/matrix/adversarial_qfq.csv,test_data/traces/adversarial.csv
adversarial.csv,sgfs,0.623077,347.293,0.000238484,200.0,0.0161967,results/matrix/adversarial_sgfs.csv,test_data/traces/adversarial.csv
balanced_rw.csv,rr,0.998537,228.073,5.32251e-05,280.0,0.00876913,results/matrix/balanced_rw_rr.csv,test_data/traces/balanced_rw.csv
balanced_rw.csv,drr,0.998047,228.775,6.5928e-05,279.0,0.008691,results/matrix/balanced_rw_drr.csv,test_data/traces/balanced_rw.csv
balanced_rw.csv,qfq,0.998537,228.073,5.32251e-05,280.0,0.00876913,results/matrix/balanced_rw_qfq.csv,test_data/traces/balanced_rw.csv
balanced_rw.csv,sgfs,0.998537,228.073,5.32251e-05,280.0,0.00876913,results/matrix/balanced_rw_sgfs.csv,test_data/traces/balanced_rw.csv
high_vs_low.csv,rr,0.98,96.8821,3.82221e-05,160.0,0.0112895,results/matrix/high_vs_low_rr.csv,test_data/traces/high_vs_low.csv
high_vs_low.csv,drr,0.969799,70.5855,0.000409835,141.0,0.0112895,results/matrix/high_vs_low_drr.csv,test_data/traces/high_vs_low.csv
high_vs_low.csv,qfq,0.98,96.8821,3.82221e-05,160.0,0.0112895,results/matrix/high_vs_low_qfq.csv,test_data/traces/high_vs_low.csv
high_vs_low.csv,sgfs,0.98,96.8821,3.82221e-05,160.0,0.0112895,results/matrix/high_vs_low_sgfs.csv,test_data/traces/high_vs_low.csv
large_bursty.csv,rr,0.999461,1227.05,6.03678e-05,1200.0,0.00889454,results/matrix/large_bursty_rr.csv,test_data/traces/large_bursty.csv
large_bursty.csv,drr,0.999461,1212.2,7.0616e-05,1200.0,0.00900354,results/matrix/large_bursty_drr.csv,test_data/traces/large_bursty.csv
large_bursty.csv,qfq,0.999461,1227.49,5.97905e-05,1200.0,0.00889137,results/matrix/large_bursty_qfq.csv,test_data/traces/large_bursty.csv
large_bursty.csv,sgfs,0.999461,1227.49,5.97905e-05,1200.0,0.00889137,results/matrix/large_bursty_sgfs.csv,test_data/traces/large_bursty.csv
medium_balanced.csv,rr,0.99894,542.67,7.4501e-05,320.0,0.00603929,results/matrix/medium_balanced_rr.csv,test_data/traces/medium_balanced.csv
medium_balanced.csv,drr,0.99894,525.023,0.000103133,320.0,0.00624229,results/matrix/medium_balanced_drr.csv,test_data/traces/medium_balanced.csv
medium_balanced.csv,qfq,0.99894,542.67,7.4501e-05,320.0,0.00603929,results/matrix/medium_balanced_qfq.csv,test_data/traces/medium_balanced.csv
medium_balanced.csv,sgfs,0.99894,542.67,7.4501e-05,320.0,0.00603929,results/matrix/medium_balanced_sgfs.csv,test_data/traces/medium_balanced.csv
read_heavy.csv,rr,0.994729,215.972,3.42463e-05,180.0,0.00491963,results/matrix/read_heavy_rr.csv,test_data/traces/read_heavy.csv
read_heavy.csv,drr,0.994729,215.972,4.00713e-05,180.0,0.00491963,results/matrix/read_heavy_drr.csv,test_data/traces/read_heavy.csv
read_heavy.csv,qfq,0.994729,215.972,3.42463e-05,180.0,0.00491963,results/matrix/read_heavy_qfq.csv,test_data/traces/read_heavy.csv
read_heavy.csv,sgfs,0.994729,215.972,3.42463e-05,180.0,0.00491963,results/matrix/read_heavy_sgfs.csv,test_data/traces/read_heavy.csv
small_mixed.csv,rr,0.994083,128.877,3.27021e-05,60.0,0.00254604,results/matrix/small_mixed_rr.csv,test_data/traces/small_mixed.csv
small_mixed.csv,drr,0.994083,127.572,4.15319e-05,60.0,0.00257208,results/matrix/small_mixed_drr.csv,test_data/traces/small_mixed.csv
small_mixed.csv,qfq,0.994083,128.877,3.27021e-05,60.0,0.00254604,results/matrix/small_mixed_qfq.csv,test_data/traces/small_mixed.csv
small_mixed.csv,sgfs,0.994083,128.877,3.27021e-05,60.0,0.00254604,results/matrix/small_mixed_sgfs.csv,test_data/traces/small_mixed.csv
write_heavy.csv,rr,0.987182,491.571,0.000137561,180.0,0.00546717,results/matrix/write_heavy_rr.csv,test_data/traces/write_heavy.csv
write_heavy.csv,drr,0.996027,481.417,0.000348043,171.0,0.005193,results/matrix/write_heavy_drr.csv,test_data/traces/write_heavy.csv
write_heavy.csv,qfq,0.987182,491.571,0.000139615,180.0,0.00546717,results/matrix/write_heavy_qfq.csv,test_data/traces/write_heavy.csv
write_heavy.csv,sgfs,0.987182,491.571,0.000139615,180.0,0.00546717,results/matrix/write_heavy_sgfs.csv,test_data/traces/write_heavy.csv
