scenario,expected_winner,actual_winner,match,rr_fairness,rr_latency,rr_throughput,drr_fairness,drr_latency,drr_throughput,qfq_fairness,qfq_latency,qfq_throughput,flin_fairness,flin_latency,flin_throughput
challenge_drr_fail_latency,qfq,rr,False,0.999629,0.00123163,1533.44,0.999382,0.00121427,1532.94,0.999394,0.00123054,1528.24,0.991872,0.00122779,1533.44
challenge_flin_fail_uniform,rr,rr,True,0.999705,2.88342e-05,200.063,0.999705,2.88342e-05,200.063,0.999705,2.88342e-05,200.063,0.999705,2.88342e-05,200.063
challenge_rr_fail_size,drr,rr,False,0.740582,0.00693499,1436.88,0.718354,0.000535891,147.216,0.567202,0.00458311,1436.45,0.630602,0.00515946,1436.45
challenge_wfq_fail_rw,flin,rr,False,0.988596,2.91373e-05,216.728,0.988596,2.91373e-05,216.728,0.988596,2.91373e-05,216.728,0.988596,2.91373e-05,216.728
drr_optimal_bandwidth_hog,drr,drr,True,0.528221,0.000890923,892.464,0.666333,0.000514815,207.052,0.529202,0.000888657,892.464,0.587886,0.00120724,892.464
drr_optimal_mixed_sizes,drr,rr,False,0.777061,0.000979108,1434.27,0.698295,0.000603682,520.084,0.561729,0.000601738,1395.39,0.673889,0.000726074,1432.22
drr_optimal_size_disparity,drr,rr,False,0.77539,0.00111562,1279.67,0.703487,0.000172104,498.223,0.638468,0.000269588,1274.84,0.637708,0.000263297,1278.46
flin_optimal_gc_scenario,flin,drr,False,0.583165,0.00244846,1153.87,0.77195,0.000357272,297.541,0.529158,0.00207696,1167.91,0.583951,0.00245075,1162.26
flin_optimal_protect_reads,flin,drr,False,0.521095,0.00173817,1236.24,0.683898,0.00048905,277.466,0.516051,0.00173655,1237.89,0.622287,0.0024177,1224.8
flin_optimal_realistic_mix,flin,rr,False,0.73468,0.00429284,1416.26,0.619719,0.00044774,531.534,0.503705,0.00151169,1387.91,0.614354,0.00112082,1338.65
flin_optimal_rw_asymmetry,flin,rr,False,0.83173,7.76069e-05,984.095,0.781015,0.000109066,944.502,0.819977,7.63569e-05,984.095,0.82488,8.04845e-05,978.081
rr_optimal_similar,rr,rr,True,0.992616,2.49473e-05,121.266,0.992616,2.49473e-05,121.266,0.992616,2.49473e-05,121.266,0.992616,2.49473e-05,121.266
rr_optimal_uniform,rr,rr,True,0.998895,2.36785e-05,152.275,0.998895,2.36785e-05,152.275,0.998895,2.36785e-05,152.275,0.998895,2.36785e-05,152.275
wfq_optimal_burst_vs_steady,qfq,flin,False,0.848489,0.000200582,839.106,0.845499,0.000250389,838.674,0.848301,0.000200499,839.106,0.934143,0.000208165,839.106
wfq_optimal_high_contention,qfq,rr,False,0.999346,0.000884441,1519.72,0.999259,0.000885904,1516.47,0.998931,0.000880561,1530.71,0.897319,0.000858078,1524.1
wfq_optimal_latency_mix,qfq,rr,False,0.99614,0.00109131,1562.99,0.986733,0.00111903,1500.72,0.984824,0.00106806,1590.55,0.929083,0.00102615,1570.25
