user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,665149,0.00194784,0.00829119,0.0477541,5968371712,0,0
1,439,0.000507507,0.000909347,0.000987839,38539264,0,0
2,427,0.000497595,0.000856434,0.0009579,37863424,0,0
3,409,0.000525534,0.000892144,0.000961284,38248448,0,0
4,454,0.000498369,0.000896417,0.000992056,39333888,0,0
5,464,0.000492024,0.00088051,0.000974632,40837120,0,0
6,466,0.000499789,0.00088,0.000997257,40599552,0,0
7,418,0.000499012,0.000865318,0.000953536,37662720,0,0
8,344,0.000496897,0.000846169,0.000966338,30384128,0,0
9,438,0.000493405,0.00089523,0.000967484,39247872,0,0
10,379,0.000475513,0.000880407,0.000983851,31588352,0,0
11,372,0.000488853,0.000879877,0.00100819,32333824,0,0
12,447,0.000478592,0.000899241,0.00097998,39100416,0,0
13,376,0.00050601,0.00091308,0.00100632,32755712,0,0
14,414,0.000500584,0.000865435,0.000957,37707776,0,0
15,478,0.000485236,0.000878762,0.000945542,41017344,0,0
16,431,0.000495893,0.000908586,0.000952036,38125568,0,0
17,98001,0.00845691,0.04894,0.136701,401412096,0,0
18,667711,0.00190705,0.00662891,0.0472658,5270679552,0,0
19,670937,0.001899,0.00663455,0.0473579,5293506560,0,0
20,43058,0.0126446,0.0573169,0.192443,7083900928,0,0
21,669170,0.00190205,0.00661985,0.0473071,5283393536,0,0
22,669504,0.00188534,0.00658526,0.0473021,5283028992,0,0
23,668225,0.00189141,0.0066068,0.0473557,5275451392,0,0
24,669529,0.00189178,0.00664574,0.0473166,5282541568,0,0
25,670207,0.00190344,0.00666316,0.0473084,5291008000,0,0
26,669143,0.00189844,0.00666972,0.0471915,5284823040,0,0
27,666462,0.00189688,0.00666506,0.0472706,5256863744,0,0
28,668629,0.00189024,0.0066305,0.0472033,5278068736,0,0
29,670397,0.00187632,0.0065581,0.0472679,5293514752,0,0
30,668374,0.00190524,0.00661013,0.0473736,5274824704,0,0
31,670826,0.0018999,0.0066232,0.0473202,5296320512,0,0
32,668582,0.00188979,0.00659926,0.0473135,5277626368,0,0
33,668732,0.00190392,0.00667835,0.0473371,5281574912,0,0
34,33834,0.0129938,0.0579806,0.13535,7170072576,0,0
35,26726,0.0121043,0.0544871,0.152453,4771606528,0,0
36,31369,0.0138478,0.0662809,0.153299,7212109824,0,0
37,42817,0.0104035,0.0513396,0.129402,6261137408,0,0
38,18472,0.0185993,0.0887756,0.252299,4558475264,0,0
39,34804,0.0123278,0.0626643,0.163408,6414700544,0,0
40,60981,0.006971,0.0468064,0.0877782,6372614144,0,0
41,44739,0.00855409,0.0492947,0.0992106,5379506176,0,0
42,47791,0.00948343,0.0489646,0.0983343,5795766272,0,0
43,47844,0.00918622,0.0489,0.141483,6016057344,0,0
44,32076,0.0136758,0.0642648,0.183965,6185234432,0,0
45,44813,0.0117138,0.0534478,0.142797,6749102080,0,0
46,55981,0.00932144,0.0505494,0.117422,6590373888,0,0
47,26371,0.0163104,0.0710384,0.247283,6440206336,0,0
48,55488,0.00970601,0.0498293,0.113835,7630831616,0,0
49,73650,0.00760628,0.0472138,0.0962971,7058640896,0,0
50,18544,0.0230217,0.0849515,0.33415,5928382464,0,0
51,41077,0.0100437,0.0503711,0.122064,6283825152,0,0
52,68800,0.00811848,0.0480846,0.0920651,6862950400,0,0
53,38175,0.0111861,0.0551644,0.115974,6061928448,0,0
54,28710,0.0128925,0.054917,0.130273,5269585920,0,0
55,10977,0.0128189,0.0709477,0.0954123,922017792,0,0
56,54509,0.0091462,0.0533244,0.113267,7943479296,0,0
57,25293,0.0129589,0.0685786,0.11381,5769891840,0,0
58,35843,0.0104835,0.0547834,0.103399,6563262464,0,0
59,33075,0.00814676,0.0489664,0.0939426,4425248768,0,0
60,29522,0.00891841,0.0515311,0.116062,3891089408,0,0
61,20503,0.015314,0.0731896,0.135245,5584936960,0,0
62,23309,0.0131959,0.0595434,0.12183,5644873728,0,0
63,14367,0.0181578,0.0753675,0.137998,5205270528,0,0
64,45765,0.00783996,0.0489694,0.0982073,5635715072,0,0
65,64330,0.0077495,0.0489154,0.105711,8047480832,0,0
66,61416,0.00645539,0.0462233,0.0936741,5473034240,0,0
67,58830,0.00843751,0.0493098,0.115898,7269810176,0,0
68,30504,0.0111147,0.0547583,0.139514,5313843200,0,0
69,33446,0.0120277,0.0565369,0.104112,7783223296,0,0
70,13000,0.0175085,0.0877609,0.153324,3335491584,0,0
71,28405,0.0130765,0.0565772,0.127434,6506688512,0,0
72,37798,0.00827869,0.0488606,0.0977257,4417306624,0,0
73,24886,0.0147113,0.0767154,0.151928,5199069184,0,0
74,53014,0.00862417,0.0498068,0.0998543,6890463232,0,0
75,32497,0.00824998,0.0511243,0.0914442,4312690688,0,0
76,30473,0.0101353,0.0540383,0.154893,4065210368,0,0
77,69794,0.00615614,0.0457081,0.0919079,5824491520,0,0
78,56790,0.00790648,0.048458,0.103121,6142087168,0,0
79,39955,0.00811163,0.0495373,0.093836,5211189248,0,0
80,55645,0.00692605,0.0473534,0.0970156,5543071744,0,0
81,34167,0.0115011,0.0651528,0.145377,5707190272,0,0
82,21712,0.0132054,0.0706279,0.148408,4295180288,0,0
83,44705,0.00720374,0.0484638,0.088869,5219635200,0,0
84,44079,0.00738066,0.0483971,0.0892179,6099808256,0,0
85,35874,0.0107726,0.059693,0.126935,5929177088,0,0
86,50469,0.00876304,0.0493779,0.106356,6803759104,0,0
87,56874,0.00818626,0.0482337,0.10022,6369521664,0,0
88,37371,0.00933507,0.0502203,0.12252,4912848896,0,0
89,34269,0.00857208,0.0488583,0.0948356,4433182720,0,0
90,4487,0.02295,0.124678,0.125134,277286912,0,0
91,26967,0.0570455,0.114292,0.154871,28018761728,0,0
92,2364,0.0127301,0.0605074,0.0612196,10346496,0,0
