user_id,completed,avg_latency_s,p95_latency_s,p99_latency_s,total_bytes,slowdown_avg,slowdown_ewma
0,665149,0.000280831,0.000492775,0.00544471,5968371712,0,0
1,439,0.000504025,0.000920372,0.000982794,38539264,0,0
2,427,0.000484706,0.000849816,0.000951805,37863424,0,0
3,409,0.000512555,0.000884102,0.000960519,38248448,0,0
4,454,0.000491226,0.000886022,0.000978416,39333888,0,0
5,464,0.000483918,0.000886279,0.000974632,40837120,0,0
6,466,0.000496734,0.000892687,0.000980024,40599552,0,0
7,418,0.000491212,0.000865318,0.000962112,37662720,0,0
8,344,0.000477636,0.000852998,0.000972401,30384128,0,0
9,438,0.000491245,0.000895193,0.000967484,39247872,0,0
10,379,0.000476301,0.000896695,0.000989493,31588352,0,0
11,372,0.00048569,0.000867408,0.000978809,32333824,0,0
12,447,0.000480847,0.000902426,0.000982126,39100416,0,0
13,376,0.000496825,0.000912389,0.000986264,32755712,0,0
14,414,0.000492939,0.000868324,0.00098049,37707776,0,0
15,478,0.000493374,0.000907973,0.000997131,41017344,0,0
16,431,0.000502419,0.00090359,0.000952036,38125568,0,0
17,98001,0.0005975,0.00399141,0.00615432,401412096,0,0
18,667711,0.000225742,0.000473408,0.00529517,5270679552,0,0
19,670937,0.000225916,0.000468969,0.00532765,5293506560,0,0
20,43058,0.00927704,0.0492288,0.191785,7083900928,0,0
21,669170,0.000225703,0.000470468,0.00531236,5283393536,0,0
22,669504,0.000225481,0.000472195,0.00531531,5283028992,0,0
23,668225,0.000226582,0.000473579,0.00533273,5275451392,0,0
24,669529,0.000227193,0.000480914,0.00531502,5282541568,0,0
25,670207,0.000229543,0.000489265,0.00535855,5291008000,0,0
26,669143,0.000227528,0.000483778,0.00532976,5284823040,0,0
27,666462,0.000229243,0.000494446,0.00535955,5256863744,0,0
28,668629,0.000228283,0.000491578,0.00534202,5278068736,0,0
29,670397,0.000226235,0.00048468,0.00532926,5293514752,0,0
30,668374,0.000229061,0.00049712,0.00534779,5274824704,0,0
31,670826,0.000229313,0.000500394,0.00534182,5296320512,0,0
32,668582,0.000229133,0.000500568,0.00534366,5277626368,0,0
33,668732,0.000231312,0.000513537,0.00536476,5281574912,0,0
34,33834,0.00997897,0.0503562,0.135828,7170072576,0,0
35,26726,0.00703325,0.0437375,0.105378,4771606528,0,0
36,31369,0.0114927,0.0573013,0.160253,7212109824,0,0
37,42817,0.00762394,0.0431198,0.115784,6261137408,0,0
38,18472,0.0140243,0.0708288,0.213551,4558475264,0,0
39,34804,0.00912551,0.0499966,0.165772,6414700544,0,0
40,60981,0.00418795,0.0262749,0.0695983,6372614144,0,0
41,44739,0.00484532,0.0315618,0.081136,5379506176,0,0
42,47791,0.00586982,0.032084,0.0939657,5795766272,0,0
43,47844,0.00654736,0.0373537,0.104072,6016057344,0,0
44,32076,0.0107653,0.0575386,0.161303,6185234432,0,0
45,44813,0.00832433,0.0451569,0.143067,6749102080,0,0
46,55981,0.00672717,0.0378858,0.109086,6590373888,0,0
47,26371,0.013245,0.058824,0.175256,6440206336,0,0
48,55488,0.00682971,0.0426769,0.101399,7630831616,0,0
49,73650,0.00439461,0.0205723,0.0795655,7058640896,0,0
50,18544,0.018032,0.0801107,0.29868,5928382464,0,0
51,41077,0.00792018,0.0433598,0.126433,6283825152,0,0
52,68800,0.00487317,0.0287975,0.0831839,6862950400,0,0
53,38175,0.00767083,0.0490387,0.10981,6061928448,0,0
54,28710,0.00969669,0.0492188,0.161422,5269585920,0,0
55,10977,0.017383,0.190305,0.194039,922017792,0,0
56,54509,0.00642614,0.0437663,0.116195,7943479296,0,0
57,25293,0.00940035,0.0551278,0.125259,5769891840,0,0
58,35843,0.00691417,0.0486644,0.09241,6563262464,0,0
59,33075,0.00459706,0.0362392,0.0832826,4425248768,0,0
60,29522,0.00561628,0.0392971,0.117337,3891089408,0,0
61,20503,0.0109815,0.0560658,0.144235,5584936960,0,0
62,23309,0.00882064,0.0491672,0.102726,5644873728,0,0
63,14367,0.0143175,0.0649352,0.14852,5205270528,0,0
64,45765,0.00463536,0.0342471,0.0895516,5635715072,0,0
65,64330,0.00509419,0.03712,0.0980851,8047480832,0,0
66,61416,0.00346208,0.0199676,0.0772193,5473034240,0,0
67,58830,0.0061556,0.0384868,0.115664,7269810176,0,0
68,30504,0.00762737,0.0489758,0.123784,5313843200,0,0
69,33446,0.00861169,0.0511288,0.103585,7783223296,0,0
70,13000,0.0132238,0.075974,0.189737,3335491584,0,0
71,28405,0.00928041,0.0541029,0.117789,6506688512,0,0
