user_id,completed,avg_latency_s,avg_throughput_bytes_per_s,total_bytes
0,29,0.298747,384369,3330048
1,119,0.00262554,4.41405e+07,13791232
2,119,0.00247282,4.61706e+07,13586432
3,114,0.00291498,4.29928e+07,14286848
4,107,0.00240743,4.783e+07,12320768
5,115,0.00301613,3.96663e+07,13758464
6,109,0.00284061,4.18692e+07,12963840
7,109,0.00227311,5.23718e+07,12976128
8,70,0.00215542,5.64667e+07,8519680
9,115,0.00311475,3.69695e+07,13242368
10,71,0.00252433,4.44046e+07,7958528
11,71,0.00259415,4.69679e+07,8650752
12,115,0.00268863,4.19679e+07,12976128
13,83,0.00228717,4.74038e+07,8998912
14,107,0.00251152,4.82711e+07,12972032
15,121,0.00229345,4.83241e+07,13410304
16,110,0.0022618,5.21552e+07,12976128
