user_id,completed,avg_latency_s,avg_throughput_bytes_per_s,total_bytes
0,29,0.000441584,2.60039e+08,3330048
1,120,0.000654851,1.77169e+08,13922304
2,120,0.000633252,1.80517e+08,13717504
3,115,0.000680324,1.84285e+08,14417920
4,108,0.000656302,1.75673e+08,12451840
5,116,0.000657909,1.81997e+08,13889536
6,111,0.000671563,1.77426e+08,13225984
7,110,0.000663376,1.79621e+08,13107200
8,70,0.000665913,1.82771e+08,8519680
9,116,0.000637197,1.8093e+08,13373440
10,71,0.000642917,1.74349e+08,7958528
11,71,0.000683375,1.78294e+08,8650752
12,115,0.000619734,1.82072e+08,12976128
13,83,0.000621691,1.74396e+08,8998912
14,107,0.00065985,1.8373e+08,12972032
15,122,0.000615217,1.80416e+08,13541376
16,111,0.000667971,1.76778e+08,13107200
