user_id,completed,avg_latency_s,avg_throughput_bytes_per_s,total_bytes
0,29,0.000441584,2.60039e+08,3330048
1,120,0.000654851,1.77169e+08,13922304
2,120,0.000645882,1.76987e+08,13717504
3,115,0.000681004,1.84101e+08,14417920
4,108,0.000653698,1.76373e+08,12451840
5,116,0.00066222,1.80812e+08,13889536
6,111,0.000664947,1.79192e+08,13225984
7,110,0.000667211,1.78589e+08,13107200
8,70,0.000664127,1.83263e+08,8519680
9,116,0.000636524,1.81122e+08,13373440
10,71,0.000638956,1.7543e+08,7958528
11,71,0.000676333,1.8015e+08,8650752
12,115,0.000619734,1.82072e+08,12976128
13,83,0.000608325,1.78228e+08,8998912
14,107,0.000657806,1.84301e+08,12972032
15,122,0.000618291,1.79519e+08,13541376
16,111,0.000670505,1.7611e+08,13107200
