timestamp,process_id,user_id,type,address,size
15,u2,2,WRITE,0x20000000000,16384
18,u3,3,WRITE,0x30000000000,16384
19,u0,0,WRITE,0x0,16384
22,u1,1,WRITE,0x10000000000,16384
34,u2,2,WRITE,0x20000004000,16384
37,u0,0,WRITE,0x4000,16384
44,u3,3,WRITE,0x30000004000,16384
46,u1,1,READ,0x10000004000,16384
62,u2,2,WRITE,0x20000008000,16384
65,u0,0,WRITE,0x8000,16384
70,u1,1,READ,0x10000008000,16384
70,u3,3,WRITE,0x30000008000,16384
85,u2,2,WRITE,0x2000000c000,16384
85,u3,3,WRITE,0x3000000c000,16384
88,u0,0,WRITE,0xc000,16384
92,u1,1,WRITE,0x1000000c000,16384
106,u3,3,WRITE,0x30000010000,16384
115,u2,2,WRITE,0x20000010000,16384
116,u0,0,WRITE,0x10000,16384
120,u1,1,WRITE,0x10000010000,16384
128,u3,3,WRITE,0x30000014000,16384
139,u2,2,WRITE,0x20000014000,16384
143,u0,0,WRITE,0x14000,16384
147,u1,1,WRITE,0x10000014000,16384
149,u3,3,WRITE,0x30000018000,16384
162,u0,0,WRITE,0x18000,16384
164,u3,3,WRITE,0x3000001c000,16384
167,u2,2,WRITE,0x20000018000,16384
176,u1,1,WRITE,0x10000018000,16384
179,u3,3,WRITE,0x30000020000,16384
187,u0,0,WRITE,0x1c000,16384
188,u2,2,WRITE,0x2000001c000,16384
195,u3,3,WRITE,0x30000024000,16384
205,u1,1,WRITE,0x1000001c000,16384
206,u2,2,WRITE,0x20000020000,16384
208,u0,0,WRITE,0x20000,16384
212,u3,3,WRITE,0x30000028000,16384
229,u0,0,WRITE,0x24000,16384
233,u1,1,WRITE,0x10000020000,16384
234,u2,2,WRITE,0x20000024000,16384
235,u3,3,WRITE,0x3000002c000,16384
248,u0,0,WRITE,0x28000,16384
258,u2,2,WRITE,0x20000028000,16384
259,u1,1,WRITE,0x10000024000,16384
261,u3,3,WRITE,0x30000030000,16384
275,u0,0,READ,0x2c000,16384
278,u3,3,WRITE,0x30000034000,16384
281,u2,2,WRITE,0x2000002c000,16384
287,u1,1,WRITE,0x10000028000,16384
294,u3,3,WRITE,0x30000038000,16384
296,u0,0,WRITE,0x30000,16384
304,u1,1,WRITE,0x1000002c000,16384
309,u2,2,WRITE,0x20000030000,16384
315,u0,0,WRITE,0x34000,16384
321,u1,1,WRITE,0x10000030000,16384
322,u3,3,WRITE,0x3000003c000,16384
330,u2,2,READ,0x20000034000,16384
338,u0,0,WRITE,0x38000,16384
342,u1,1,READ,0x10000034000,16384
344,u3,3,WRITE,0x30000040000,16384
357,u2,2,WRITE,0x20000038000,16384
359,u0,0,WRITE,0x3c000,16384
365,u1,1,WRITE,0x10000038000,16384
370,u3,3,WRITE,0x30000044000,16384
380,u0,0,WRITE,0x40000,16384
382,u2,2,WRITE,0x2000003c000,16384
386,u1,1,WRITE,0x1000003c000,16384
400,u3,3,WRITE,0x30000048000,16384
406,u2,2,WRITE,0x20000040000,16384
407,u1,1,WRITE,0x10000040000,16384
409,u0,0,WRITE,0x44000,16384
429,u1,1,WRITE,0x10000044000,16384
429,u3,3,WRITE,0x3000004c000,16384
431,u2,2,WRITE,0x20000044000,16384
439,u0,0,WRITE,0x48000,16384
446,u3,3,WRITE,0x30000050000,16384
449,u1,1,WRITE,0x10000048000,16384
455,u2,2,WRITE,0x20000048000,16384
457,u0,0,WRITE,0x4c000,16384
472,u3,3,WRITE,0x30000054000,16384
479,u1,1,WRITE,0x1000004c000,16384
483,u2,2,WRITE,0x2000004c000,16384
484,u0,0,WRITE,0x50000,16384
491,u3,3,WRITE,0x30000058000,16384
503,u0,0,WRITE,0x54000,16384
