timestamp,process_id,user_id,type,address,size
17,rw_ratio_99,0,READ,0x0,8192
24,rw_ratio_70,1,WRITE,0x10000000000,4096
30,rw_ratio_1,3,WRITE,0x30000000000,32768
40,rw_ratio_30,2,WRITE,0x20000000000,32768
41,rw_ratio_99,0,READ,0x2000,8192
57,rw_ratio_70,1,READ,0x10000001000,8192
64,rw_ratio_30,2,READ,0x20000008000,32768
72,rw_ratio_1,3,WRITE,0x30000008000,65536
75,rw_ratio_99,0,READ,0x4000,8192
89,rw_ratio_70,1,WRITE,0x10000003000,4096
106,rw_ratio_30,2,READ,0x20000010000,65536
107,rw_ratio_1,3,WRITE,0x30000018000,65536
116,rw_ratio_99,0,READ,0x6000,8192
124,rw_ratio_70,1,READ,0x10000004000,8192
126,rw_ratio_30,2,WRITE,0x20000020000,32768
134,rw_ratio_1,3,WRITE,0x30000028000,32768
141,rw_ratio_99,0,READ,0x8000,4096
149,rw_ratio_1,3,WRITE,0x30000030000,32768
164,rw_ratio_70,1,READ,0x10000006000,4096
169,rw_ratio_30,2,READ,0x20000028000,65536
174,rw_ratio_1,3,WRITE,0x30000038000,65536
179,rw_ratio_99,0,READ,0x9000,4096
187,rw_ratio_30,2,WRITE,0x20000038000,65536
198,rw_ratio_70,1,READ,0x10000007000,8192
206,rw_ratio_30,2,WRITE,0x20000048000,32768
215,rw_ratio_99,0,READ,0xa000,4096
217,rw_ratio_1,3,WRITE,0x30000048000,65536
228,rw_ratio_70,1,READ,0x10000009000,4096
244,rw_ratio_99,0,READ,0xb000,4096
248,rw_ratio_70,1,WRITE,0x1000000a000,8192
249,rw_ratio_30,2,READ,0x20000050000,32768
251,rw_ratio_1,3,WRITE,0x30000058000,32768
274,rw_ratio_99,0,READ,0xc000,8192
291,rw_ratio_70,1,READ,0x1000000c000,8192
292,rw_ratio_1,3,WRITE,0x30000060000,65536
293,rw_ratio_30,2,READ,0x20000058000,32768
301,rw_ratio_99,0,READ,0xe000,4096
309,rw_ratio_1,3,WRITE,0x30000070000,65536
322,rw_ratio_30,2,WRITE,0x20000060000,32768
324,rw_ratio_70,1,WRITE,0x1000000e000,8192
327,rw_ratio_99,0,READ,0xf000,8192
332,rw_ratio_1,3,WRITE,0x30000080000,32768
348,rw_ratio_99,0,READ,0x11000,8192
353,rw_ratio_70,1,WRITE,0x10000010000,8192
353,rw_ratio_30,2,WRITE,0x20000068000,65536
361,rw_ratio_1,3,WRITE,0x30000088000,32768
380,rw_ratio_70,1,READ,0x10000012000,4096
391,rw_ratio_99,0,READ,0x13000,4096
394,rw_ratio_30,2,READ,0x20000078000,32768
394,rw_ratio_1,3,WRITE,0x30000090000,32768
413,rw_ratio_70,1,READ,0x10000013000,8192
425,rw_ratio_99,0,READ,0x14000,4096
430,rw_ratio_1,3,WRITE,0x30000098000,32768
432,rw_ratio_30,2,WRITE,0x20000080000,65536
447,rw_ratio_99,0,READ,0x15000,4096
453,rw_ratio_70,1,READ,0x10000015000,8192
