timestamp,process_id,user_id,type,address,size
1,write_storm_attacker,3,WRITE,0x30000000000,131072
6,write_storm_attacker,3,WRITE,0x30000020000,131072
9,write_storm_attacker,3,WRITE,0x30000040000,131072
11,write_storm_attacker,3,WRITE,0x30000060000,131072
13,write_storm_attacker,3,WRITE,0x30000080000,131072
15,write_storm_attacker,3,WRITE,0x300000a0000,131072
20,write_storm_attacker,3,WRITE,0x300000c0000,131072
22,write_storm_attacker,3,WRITE,0x300000e0000,131072
23,write_storm_attacker,3,WRITE,0x30000100000,131072
24,normal_reader2,2,READ,0x20000000000,4096
28,write_storm_attacker,3,WRITE,0x30000120000,131072
29,write_storm_attacker,3,WRITE,0x30000140000,131072
32,normal_reader1,1,READ,0x10000000000,4096
34,write_storm_attacker,3,WRITE,0x30000160000,131072
35,write_storm_attacker,3,WRITE,0x30000180000,131072
37,write_storm_attacker,3,WRITE,0x300001a0000,131072
39,write_storm_attacker,3,WRITE,0x300001c0000,131072
44,write_storm_attacker,3,WRITE,0x300001e0000,131072
47,write_storm_attacker,3,WRITE,0x30000200000,131072
50,normal_reader0,0,READ,0x0,4096
50,write_storm_attacker,3,WRITE,0x30000220000,131072
54,write_storm_attacker,3,WRITE,0x30000240000,131072
56,write_storm_attacker,3,WRITE,0x30000260000,131072
61,normal_reader1,1,READ,0x10000001000,4096
61,write_storm_attacker,3,WRITE,0x30000280000,131072
62,normal_reader2,2,READ,0x20000001000,4096
62,write_storm_attacker,3,WRITE,0x300002a0000,131072
63,write_storm_attacker,3,WRITE,0x300002c0000,131072
67,write_storm_attacker,3,WRITE,0x300002e0000,131072
72,write_storm_attacker,3,WRITE,0x30000300000,131072
73,write_storm_attacker,3,WRITE,0x30000320000,131072
76,write_storm_attacker,3,WRITE,0x30000340000,131072
77,write_storm_attacker,3,WRITE,0x30000360000,131072
78,write_storm_attacker,3,WRITE,0x30000380000,131072
83,write_storm_attacker,3,WRITE,0x300003a0000,131072
84,write_storm_attacker,3,WRITE,0x300003c0000,131072
85,write_storm_attacker,3,WRITE,0x300003e0000,131072
86,write_storm_attacker,3,WRITE,0x30000400000,131072
89,write_storm_attacker,3,WRITE,0x30000420000,131072
94,write_storm_attacker,3,WRITE,0x30000440000,131072
95,normal_reader0,0,READ,0x1000,4096
98,write_storm_attacker,3,WRITE,0x30000460000,131072
102,write_storm_attacker,3,WRITE,0x30000480000,131072
106,write_storm_attacker,3,WRITE,0x300004a0000,131072
