timestamp,process_id,user_id,type,address,size
2,latency_critical0,0,READ,0x0,8192
3,latency_critical1,1,WRITE,0x40000000,8192
3,latency_critical2,2,WRITE,0x80000000,4096
3,latency_critical3,3,READ,0xc0000000,4096
4,latency_critical1,1,READ,0x40002000,4096
4,latency_critical2,2,WRITE,0x80001000,8192
6,latency_critical0,0,READ,0x2000,4096
6,latency_critical2,2,WRITE,0x80003000,8192
6,latency_critical3,3,WRITE,0xc0001000,4096
7,latency_critical1,1,READ,0x40003000,8192
7,latency_critical2,2,READ,0x80005000,4096
9,latency_critical2,2,READ,0x80006000,8192
10,latency_critical3,3,READ,0xc0002000,8192
11,latency_critical0,0,READ,0x3000,4096
11,latency_critical3,3,READ,0xc0004000,4096
12,latency_critical1,1,WRITE,0x40005000,4096
12,latency_critical2,2,WRITE,0x80008000,8192
14,latency_critical0,0,READ,0x4000,4096
15,latency_critical3,3,READ,0xc0005000,8192
16,latency_critical0,0,WRITE,0x5000,8192
17,latency_critical1,1,WRITE,0x40006000,4096
17,latency_critical2,2,READ,0x8000a000,4096
17,latency_critical3,3,WRITE,0xc0007000,4096
18,latency_critical2,2,WRITE,0x8000b000,4096
19,latency_critical1,1,WRITE,0x40007000,4096
20,latency_critical0,0,READ,0x7000,4096
20,latency_critical2,2,WRITE,0x8000c000,4096
20,latency_critical3,3,WRITE,0xc0008000,8192
21,latency_critical3,3,WRITE,0xc000a000,8192
22,latency_critical2,2,WRITE,0x8000d000,4096
23,latency_critical1,1,READ,0x40008000,4096
24,latency_critical0,0,READ,0x8000,8192
24,latency_critical2,2,READ,0x8000e000,4096
24,latency_critical3,3,READ,0xc000c000,8192
25,latency_critical0,0,READ,0xa000,4096
26,latency_critical1,1,WRITE,0x40009000,4096
26,latency_critical3,3,WRITE,0xc000e000,8192
27,latency_critical2,2,READ,0x8000f000,8192
29,latency_critical1,1,READ,0x4000a000,4096
29,latency_critical3,3,WRITE,0xc0010000,4096
30,latency_critical0,0,READ,0xb000,4096
31,latency_critical2,2,WRITE,0x80011000,4096
31,latency_critical3,3,WRITE,0xc0011000,8192
32,latency_critical0,0,WRITE,0xc000,4096
32,latency_critical2,2,WRITE,0x80012000,4096
32,latency_critical3,3,WRITE,0xc0013000,4096
33,latency_critical0,0,READ,0xd000,8192
34,latency_critical0,0,READ,0xf000,4096
34,latency_critical1,1,READ,0x4000b000,8192
34,latency_critical2,2,WRITE,0x80013000,8192
37,latency_critical2,2,READ,0x80015000,8192
37,latency_critical3,3,WRITE,0xc0014000,8192
38,latency_critical0,0,WRITE,0x10000,8192
38,latency_critical2,2,READ,0x80017000,4096
39,latency_critical1,1,READ,0x4000d000,4096
39,latency_critical2,2,READ,0x80018000,4096
41,latency_critical0,0,READ,0x12000,8192
41,latency_critical1,1,READ,0x4000e000,8192
41,latency_critical3,3,WRITE,0xc0016000,4096
42,latency_critical3,3,READ,0xc0017000,8192
43,latency_critical3,3,WRITE,0xc0019000,4096
44,latency_critical1,1,WRITE,0x40010000,4096
44,latency_critical2,2,WRITE,0x80019000,4096
45,latency_critical0,0,WRITE,0x14000,4096
48,latency_critical1,1,WRITE,0x40011000,8192
48,latency_critical2,2,READ,0x8001a000,4096
48,latency_critical3,3,WRITE,0xc001a000,8192
49,latency_critical0,0,READ,0x15000,4096
49,latency_critical3,3,WRITE,0xc001c000,4096
50,latency_critical2,2,READ,0x8001b000,4096
51,latency_critical1,1,WRITE,0x40013000,8192
52,latency_critical0,0,READ,0x16000,8192
53,latency_critical3,3,WRITE,0xc001d000,4096
54,latency_critical0,0,READ,0x18000,4096
54,latency_critical2,2,READ,0x8001c000,4096
55,latency_critical1,1,WRITE,0x40015000,8192
56,latency_critical2,2,WRITE,0x8001d000,8192
56,latency_critical3,3,READ,0xc001e000,4096
57,latency_critical1,1,WRITE,0x40017000,8192
59,latency_critical0,0,WRITE,0x19000,8192
59,latency_critical1,1,READ,0x40019000,4096
61,latency_critical0,0,READ,0x1b000,4096
61,latency_critical1,1,READ,0x4001a000,4096
61,latency_critical2,2,WRITE,0x8001f000,8192
61,latency_critical3,3,WRITE,0xc001f000,4096
63,latency_critical2,2,WRITE,0x80021000,4096
64,latency_critical0,0,WRITE,0x1c000,8192
64,latency_critical3,3,READ,0xc0020000,4096
66,latency_critical1,1,READ,0x4001b000,4096
66,latency_critical3,3,WRITE,0xc0021000,4096
67,latency_critical2,2,WRITE,0x80022000,4096
68,latency_critical0,0,READ,0x1e000,4096
70,latency_critical1,1,READ,0x4001c000,4096
70,latency_critical3,3,WRITE,0xc0022000,8192
71,latency_critical1,1,WRITE,0x4001d000,8192
71,latency_critical2,2,READ,0x80023000,8192
71,latency_critical3,3,READ,0xc0024000,8192
73,latency_critical0,0,WRITE,0x1f000,4096
74,latency_critical1,1,WRITE,0x4001f000,4096
74,latency_critical3,3,READ,0xc0026000,8192
75,latency_critical0,0,READ,0x20000,4096
76,latency_critical2,2,WRITE,0x80025000,4096
77,latency_critical2,2,READ,0x80026000,4096
78,latency_critical1,1,READ,0x40020000,8192
78,latency_critical3,3,READ,0xc0028000,8192
79,latency_critical0,0,READ,0x21000,8192
81,latency_critical2,2,WRITE,0x80027000,8192
81,latency_critical3,3,READ,0xc002a000,8192
82,latency_critical0,0,WRITE,0x23000,8192
83,latency_critical1,1,WRITE,0x40022000,8192
85,latency_critical1,1,WRITE,0x40024000,8192
85,latency_critical3,3,WRITE,0xc002c000,4096
86,latency_critical2,2,WRITE,0x80029000,4096
87,latency_critical0,0,WRITE,0x25000,8192
88,latency_critical1,1,READ,0x40026000,4096
88,latency_critical2,2,READ,0x8002a000,4096
89,latency_critical3,3,READ,0xc002d000,4096
91,latency_critical0,0,READ,0x27000,8192
91,latency_critical1,1,READ,0x40027000,4096
92,latency_critical3,3,READ,0xc002e000,4096
93,latency_critical2,2,READ,0x8002b000,4096
93,latency_critical3,3,WRITE,0xc002f000,8192
94,latency_critical1,1,READ,0x40028000,8192
96,latency_critical0,0,READ,0x29000,4096
97,latency_critical0,0,WRITE,0x2a000,8192
97,latency_critical2,2,READ,0x8002c000,4096
97,latency_critical3,3,WRITE,0xc0031000,8192
98,latency_critical1,1,WRITE,0x4002a000,8192
99,latency_critical2,2,WRITE,0x8002d000,4096
99,latency_critical3,3,WRITE,0xc0033000,4096
101,latency_critical2,2,READ,0x8002e000,4096
102,latency_critical0,0,READ,0x2c000,4096
102,latency_critical1,1,READ,0x4002c000,8192
102,latency_critical3,3,READ,0xc0034000,4096
105,latency_critical0,0,WRITE,0x2d000,8192
105,latency_critical1,1,WRITE,0x4002e000,8192
106,latency_critical2,2,READ,0x8002f000,4096
107,latency_critical3,3,READ,0xc0035000,8192
109,latency_critical3,3,READ,0xc0037000,4096
110,latency_critical0,0,READ,0x2f000,4096
110,latency_critical1,1,READ,0x40030000,4096
111,latency_critical2,2,READ,0x80030000,4096
111,latency_critical3,3,WRITE,0xc0038000,4096
112,latency_critical1,1,READ,0x40031000,8192
113,latency_critical0,0,READ,0x30000,4096
114,latency_critical3,3,WRITE,0xc0039000,8192
116,latency_critical0,0,READ,0x31000,8192
116,latency_critical1,1,READ,0x40033000,8192
116,latency_critical2,2,READ,0x80031000,4096
116,latency_critical3,3,READ,0xc003b000,4096
118,latency_critical1,1,READ,0x40035000,4096
119,latency_critical0,0,READ,0x33000,8192
119,latency_critical2,2,WRITE,0x80032000,4096
120,latency_critical2,2,READ,0x80033000,8192
120,latency_critical3,3,READ,0xc003c000,4096
121,latency_critical3,3,READ,0xc003d000,8192
122,latency_critical1,1,WRITE,0x40036000,8192
122,latency_critical2,2,WRITE,0x80035000,4096
123,latency_critical3,3,READ,0xc003f000,4096
124,latency_critical0,0,WRITE,0x35000,8192
124,latency_critical1,1,READ,0x40038000,8192
124,latency_critical2,2,READ,0x80036000,4096
125,latency_critical1,1,WRITE,0x4003a000,8192
125,latency_critical3,3,READ,0xc0040000,4096
126,latency_critical0,0,WRITE,0x37000,4096
127,latency_critical3,3,READ,0xc0041000,8192
129,latency_critical0,0,WRITE,0x38000,4096
129,latency_critical2,2,READ,0x80037000,8192
130,latency_critical1,1,READ,0x4003c000,8192
131,latency_critical1,1,WRITE,0x4003e000,8192
132,latency_critical0,0,READ,0x39000,8192
132,latency_critical3,3,READ,0xc0043000,8192
134,latency_critical2,2,WRITE,0x80039000,4096
136,latency_critical0,0,READ,0x3b000,4096
136,latency_critical1,1,READ,0x40040000,4096
136,latency_critical3,3,READ,0xc0045000,8192
137,latency_critical2,2,READ,0x8003a000,8192
138,latency_critical3,3,READ,0xc0047000,4096
139,latency_critical0,0,READ,0x3c000,4096
139,latency_critical1,1,READ,0x40041000,8192
140,latency_critical2,2,READ,0x8003c000,8192
141,latency_critical2,2,WRITE,0x8003e000,4096
142,latency_critical0,0,WRITE,0x3d000,4096
142,latency_critical2,2,READ,0x8003f000,4096
143,latency_critical3,3,READ,0xc0048000,8192
144,latency_critical1,1,READ,0x40043000,4096
144,latency_critical2,2,READ,0x80040000,4096
145,latency_critical1,1,WRITE,0x40044000,8192
146,latency_critical0,0,READ,0x3e000,8192
146,latency_critical2,2,WRITE,0x80041000,8192
